Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,150.56,nan,nan
buttfly_0-0-0,0.001651,165.19,nan,nan
buttfly_0-0-1,0.000000,157.47,nan,nan
buttfly_0-0-2,0.000000,156.94,nan,nan
buttfly_0-0-3,0.000000,158.00,nan,nan
buttfly_0-0-4,0.033713,162.53,nan,nan
buttfly_0-0-5,0.124700,152.95,nan,nan
buttfly_1-0-0,0.001651,168.11,nan,nan
buttfly_1-0-1,0.000000,156.94,nan,nan
buttfly_1-0-2,0.000115,150.29,nan,nan
buttfly_1-0-3,0.000000,156.41,nan,nan
buttfly_1-0-4,0.033713,164.65,nan,nan
buttfly_1-0-5,0.124700,155.61,nan,nan
buttfly_1-1-0,0.001651,171.30,nan,nan
buttfly_1-1-1,0.000321,154.55,nan,nan
buttfly_1-1-2,0.000000,158.27,nan,nan
buttfly_1-1-3,0.033713,161.20,nan,nan
buttfly_1-1-4,0.124700,155.08,nan,nan
buttfly_1-2-0,0.000724,161.20,nan,nan
buttfly_1-2-1,0.011920,154.28,nan,nan
buttfly_1-2-2,0.033713,161.99,nan,nan
buttfly_1-2-3,0.124700,154.55,nan,nan
buttfly_2-0-0,0.000724,159.07,nan,nan
buttfly_2-0-1,0.000000,153.22,nan,nan
buttfly_2-0-2,0.000115,151.35,nan,nan
buttfly_2-0-3,0.011920,153.75,nan,nan
buttfly_2-0-4,0.033713,161.46,nan,nan
buttfly_2-0-5,0.124700,152.68,nan,nan
buttfly_2-1-0,0.001651,172.10,nan,nan
buttfly_2-1-1,0.000321,152.95,nan,nan
buttfly_2-1-2,0.000115,155.08,nan,nan
buttfly_2-1-3,0.033713,161.46,nan,nan
buttfly_2-1-4,0.124700,150.56,nan,nan
buttfly_2-2-0,0.000724,159.87,nan,nan
buttfly_2-2-1,0.000321,151.89,nan,nan
buttfly_2-2-2,0.011920,154.01,nan,nan
buttfly_2-2-3,0.033713,161.20,nan,nan
buttfly_2-2-4,0.124700,154.28,nan,nan
buttfly_3-0-0,0.000724,161.99,nan,nan
buttfly_3-0-1,0.000321,152.68,nan,nan
buttfly_3-0-2,0.000115,154.01,nan,nan
buttfly_3-0-3,0.011920,151.62,nan,nan
buttfly_3-0-4,0.033713,163.59,nan,nan
buttfly_3-0-5,0.124700,152.95,nan,nan
buttfly_3-1-0,0.126064,165.98,nan,nan
buttfly_3-1-1,0.125090,150.56,nan,nan
buttfly_3-1-2,0.124762,152.42,nan,nan
buttfly_3-1-3,0.157588,156.94,nan,nan
buttfly_3-1-4,0.304475,151.35,nan,nan
buttfly_3-2-0,0.125263,160.66,nan,nan
buttfly_3-2-1,0.124762,147.63,nan,nan
buttfly_3-2-2,0.136298,152.42,nan,nan
buttfly_3-2-3,0.157588,159.07,nan,nan
buttfly_3-2-4,0.304475,152.95,nan,nan
buttfly_4-0-0,0.125322,151.89,nan,nan
buttfly_4-0-1,0.124762,153.22,nan,nan
buttfly_4-0-2,0.124673,147.10,nan,nan
buttfly_4-0-3,0.136305,145.77,nan,nan
buttfly_4-0-4,0.157635,151.62,nan,nan
buttfly_4-0-5,0.304681,151.89,nan,nan
buttfly_4-1-0,0.126481,164.92,nan,nan
buttfly_4-1-1,0.125114,145.24,nan,nan
buttfly_4-1-2,0.125149,144.97,nan,nan
buttfly_4-1-3,0.125090,146.83,nan,nan
buttfly_4-1-4,0.157971,154.28,nan,nan
buttfly_4-1-5,0.304925,148.69,nan,nan
buttfly_4-2-0,0.305118,165.72,nan,nan
buttfly_4-2-1,0.304681,150.56,nan,nan
buttfly_4-2-2,0.304475,150.02,nan,nan
buttfly_4-2-3,0.326113,159.07,nan,nan
buttfly_4-2-4,0.339925,140.18,nan,nan
buttfly_5-0-0,0.126527,156.94,nan,nan
